Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
106.12.167.196,167.235.145.223,14,1980,5,1336,9,644,16.910716,65.1531,164,79
108.162.220.66,167.235.145.223,443,2538298,180,14086,263,2524212,16.92997,63.08854,1786,320085
108.162.220.71,167.235.145.223,6,427,2,132,4,295,1.895472,29.915915,35,78
108.162.220.77,167.235.145.223,6,427,2,132,4,295,26.028651,29.964883,35,78
108.162.220.78,167.235.145.223,215,2667866,104,9070,111,2658796,11.605233,62.39849,1162,340879
108.162.220.86,167.235.145.223,6,427,2,132,4,295,25.451577,29.942922,35,78
108.162.220.88,167.235.145.223,1088,2181540,508,34834,580,2146706,37.475399,30.647377,9092,560362
108.162.220.89,167.235.145.223,331,2131801,151,11495,180,2120306,37.753604,30.232148,3041,561073
108.162.220.90,167.235.145.223,375,231386,250,115442,125,115944,0.315569,81.33392,11354,11404
108.162.220.91,167.235.145.223,1724,7794670,1112,476978,612,7317692,0.245782,82.182569,46431,712335
108.162.220.98,167.235.145.223,294,4930721,154,14047,140,4916674,41.713494,32.387717,3469,1214453
108.162.220.100,167.235.145.223,6,427,2,132,4,295,14.038433,29.979118,35,78
108.162.220.107,167.235.145.223,244,7406350,114,10145,130,7396205,7.877325,65.689915,1235,900741
108.162.220.113,167.235.145.223,2581,5697823,1183,80913,1398,5616910,25.577979,31.049569,20847,1447211
108.162.221.3,167.235.145.223,925,574917,616,290669,309,284248,0.296048,82.197466,28289,27664
108.162.221.4,167.235.145.223,1077,673210,718,340928,359,332282,0.160073,82.913411,32894,32060
108.162.221.10,167.235.145.223,189,2322697,93,8414,96,2314283,36.163235,31.904176,2109,580308
108.162.221.16,167.235.145.223,515,4266620,220,16704,295,4249916,13.474687,60.316875,2215,563678
108.162.221.18,167.235.145.223,504,2614661,234,17711,270,2596950,65.702749,2.406907,58867,8631658
108.162.221.24,167.235.145.223,862,11300510,326,26987,536,11273523,1.042005,77.6842,2779,1160959
108.162.221.28,167.235.145.223,287,4619091,132,10832,155,4608259,80.947972,1.658177,52259,22232893
108.162.221.33,167.235.145.223,311,4644892,150,12084,161,4632808,1.738611,65.715963,1471,563979
108.162.221.35,167.235.145.223,237,1327744,114,8179,123,1319565,3.411155,60.016471,1090,175893
108.162.221.52,167.235.145.223,1331,6524935,619,44148,712,6480787,58.074078,4.105315,86030,12629066
108.162.221.55,167.235.145.223,199,2083898,95,7799,104,2076099,55.751676,0.14312,435941,116048015
108.162.221.59,167.235.145.223,955,6771367,463,33828,492,6737539,4.927876,62.297946,4344,865202
108.162.221.61,167.235.145.223,998,7117476,393,28957,605,7088519,16.054443,63.48719,3648,893221
108.162.221.63,167.235.145.223,354,4118236,151,11461,203,4106775,0.615731,60.719327,1510,541083
108.162.221.65,167.235.145.223,1767,4227849,796,55371,971,4172478,19.624172,60.17373,7361,554724
108.162.221.69,167.235.145.223,148,6333206,47,5692,101,6327514,13.185176,54.784335,831,923988
108.162.221.72,167.235.145.223,303,4596146,150,12084,153,4584062,73.589349,0.200253,482749,183130819
108.162.221.78,167.235.145.223,392,7480289,190,15764,202,7464525,47.14474,33.031906,3817,1807833
108.162.221.98,167.235.145.223,6,427,2,132,4,295,2.054529,29.939059,35,78
108.162.221.102,167.235.145.223,1932,9963447,932,66418,1000,9897029,24.090045,38.155995,13925,2075066
108.162.221.103,167.235.145.223,208,1942835,104,8344,104,1934491,82.838637,0.143032,466692,108199060
108.162.221.104,167.235.145.223,92,1191718,35,3048,57,1188670,2.224459,60.016452,406,158445
108.162.221.105,167.235.145.223,182,2171536,89,8141,93,2163395,59.810578,2.230636,29197,7758845
108.162.221.110,167.235.145.223,6,427,2,132,4,295,1.048378,29.969978,35,78
108.162.221.113,167.235.145.223,6,427,2,132,4,295,20.238557,29.785065,35,79
108.162.221.119,167.235.145.223,202,2727314,98,8735,104,2718579,47.70228,32.339206,2160,672515
108.162.221.126,167.235.145.223,6,427,2,132,4,295,8.130281,29.856191,35,79
108.162.221.127,167.235.145.223,78,2460899,36,4001,42,2456898,5.960936,62.035979,515,316835
108.162.221.131,167.235.145.223,436,9175999,208,17445,228,9158554,18.987908,48.789636,2860,1501721
108.162.221.133,167.235.145.223,772,2921649,370,26696,402,2894953,29.853941,32.351911,6601,715865
108.162.221.135,167.235.145.223,1014,5088600,627,232008,387,4856592,0.344889,82.252146,22565,472361
108.162.221.136,167.235.145.223,751,2459949,486,219333,265,2240616,0.302583,82.476399,21274,217334
108.162.221.140,167.235.145.223,513,3543261,241,18090,272,3525171,31.482734,30.396014,4761,927798
108.162.221.141,167.235.145.223,34,1248054,10,1315,24,1246739,0.780217,60.016449,175,166186
108.162.221.143,167.235.145.223,170,1361604,82,6718,88,1354886,6.740911,60.059582,894,180472
108.162.221.148,167.235.145.223,311,4644860,153,12282,158,4632578,61.522123,0.26793,366722,138322039
108.162.221.150,167.235.145.223,1417,4910748,652,45216,765,4865532,7.746251,60.563266,5972,642704
108.162.221.155,167.235.145.223,1657,13828076,683,50953,974,13777123,52.392822,27.92616,14596,3946728
108.162.221.165,167.235.145.223,702,437954,468,221800,234,216154,0.169145,81.706055,21716,21164
108.162.221.166,167.235.145.223,1081,1921845,711,330335,370,1591510,0.241682,81.34715,32486,156515
108.162.221.170,167.235.145.223,405,7892419,196,16160,209,7876259,71.148677,3.14382,41121,20042518
108.162.226.143,167.235.145.223,612,778801,277,20951,335,757850,65.01948,18.019541,9301,336456
108.162.227.14,167.235.145.223,961,975072,397,29710,564,945362,22.864935,60.238503,3945,125549
108.162.227.20,167.235.145.223,53,28455,29,12815,24,15640,21.723442,61.045709,1679,2049
108.162.241.7,167.235.145.223,6,427,2,132,4,295,23.340904,29.285528,36,80
108.162.241.28,167.235.145.223,6,427,2,132,4,295,20.702438,29.280266,36,80
108.162.241.53,167.235.145.223,7,493,3,198,4,295,8.868088,29.201909,54,80
108.162.241.82,167.235.145.223,618,2250137,282,20097,336,2230040,52.383828,1.140384,140984,15644133
108.162.241.92,167.235.145.223,652,2213188,313,22141,339,2191047,79.627524,1.143655,154878,15326629
108.162.241.99,167.235.145.223,62,111421,20,2805,42,108616,82.475471,0.572212,39216,1518542
108.162.241.101,167.235.145.223,734,2637466,338,23791,396,2613675,49.609869,31.245054,6091,669206
108.162.241.107,167.235.145.223,714,4358236,309,22709,405,4335527,25.583384,48.14476,3773,720415
108.162.241.110,167.235.145.223,6,427,2,132,4,295,2.875376,29.180102,36,80
108.162.241.120,167.235.145.223,6,427,2,132,4,295,14.847819,29.192078,36,80
108.162.241.123,167.235.145.223,682,2513541,317,22405,365,2491136,13.591718,60.415016,2966,329869
108.162.241.124,167.235.145.223,656,2807103,290,20625,366,2786478,28.320689,31.181214,5291,714911
108.162.241.131,167.235.145.223,700,2285716,323,22801,377,2262915,7.648699,60.452501,3017,299463
108.162.241.140,167.235.145.223,42,26237,28,13258,14,12979,4.109031,78.310098,1354,1325
108.162.241.164,167.235.145.223,644,2414575,294,20889,350,2393686,70.443247,1.172179,142565,16336658
108.162.241.186,167.235.145.223,702,2523855,318,22471,384,2501384,31.593286,31.229393,5756,640776
108.162.241.216,167.235.145.223,153,2416193,78,5980,75,2410213,29.36013,26.463213,1807,728622
108.162.241.221,167.235.145.223,711,2361760,330,23265,381,2338495,4.270156,60.45422,3078,309456
108.162.241.224,167.235.145.223,591,2157972,263,18843,328,2139129,16.28691,60.407028,2495,283295
108.162.241.230,167.235.145.223,702,3854185,324,23703,378,3830482,22.30474,42.303204,4482,724386
108.162.241.239,167.235.145.223,643,2333148,271,19371,372,2313777,76.461,1.214445,127603,15241707
108.162.241.241,167.235.145.223,648,2475084,294,20887,354,2454197,67.654186,1.092869,152896,17965168
108.162.242.32,167.235.145.223,600,2450864,262,18777,338,2432087,10.270178,60.411068,2486,322071
108.162.242.40,167.235.145.223,115,2055126,46,3868,69,2051258,1.562581,60.115269,514,272976
108.162.242.50,167.235.145.223,6,427,2,132,4,295,5.32865,29.280335,36,80
108.162.242.51,167.235.145.223,637,2112762,306,21681,331,2091081,58.407948,1.098246,157931,15232150
108.162.242.57,167.235.145.223,643,2396461,289,20557,354,2375904,19.573376,60.403833,2722,314669
108.162.242.63,167.235.145.223,6,427,2,132,4,295,17.35075,29.272531,36,80
108.162.242.69,167.235.145.223,663,2415829,306,21681,357,2394148,46.361531,31.356306,5531,610823
108.162.242.75,167.235.145.223,608,2354931,267,19107,341,2335824,64.427262,1.102604,138631,16947691
108.162.242.89,167.235.145.223,6,427,2,132,4,295,26.878801,28.773448,36,82
108.162.242.93,167.235.145.223,803,2717336,376,26299,427,2691037,73.631852,1.365624,154062,15764438
108.162.242.95,167.235.145.223,620,2153836,292,20755,328,2133081,37.612684,31.142756,5331,547949
108.162.242.103,167.235.145.223,7,493,3,198,4,295,11.318423,29.300429,54,80
108.162.242.106,167.235.145.223,42,26198,28,13230,14,12968,1.430816,78.170875,1353,1327
108.162.242.112,167.235.145.223,708,2156639,342,24057,366,2132582,40.377637,31.249012,6158,545958
125.124.215.155,167.235.145.223,26,4644,12,2050,14,2594,34.261654,5.335093,3073,3889
140.248.69.21,167.235.145.223,247,2661889,122,10749,125,2651140,19.942578,36.090446,2382,587665
140.248.69.26,167.235.145.223,171,1096420,83,7082,88,1089338,61.786931,0.200909,281998,43376374
140.248.69.27,167.235.145.223,2,120,1,66,1,54,45.499147,2.20E-05,,
140.248.69.29,167.235.145.223,177,1247906,83,7082,94,1240824,7.854507,60.085883,942,165206
140.248.69.33,167.235.145.223,208,1310319,101,8270,107,1302049,68.004375,0.229959,287703,45296735
140.248.69.36,167.235.145.223,195,1206844,98,8072,97,1198772,1.960888,60.08967,1074,159597
140.248.69.38,167.235.145.223,201,1240397,98,8072,103,1232325,79.949025,0.227396,283980,43354324
140.248.69.39,167.235.145.223,2,120,1,66,1,54,71.850836,1.00E-05,,
140.248.69.41,167.235.145.223,193,1375724,96,7871,97,1367853,50.14664,0.201137,313060,54404828
140.248.69.42,167.235.145.223,53,1331369,28,2941,25,1328428,13.934527,60.026342,391,177046
140.248.69.43,167.235.145.223,42,30416,28,16926,14,13490,1.52336,78.07748,1734,1382
140.248.69.45,167.235.145.223,2,120,1,66,1,54,26.035649,9.00E-06,,
140.248.69.50,167.235.145.223,2,120,1,66,1,54,59.508133,1.30E-05,,
140.248.69.52,167.235.145.223,248,2622644,120,10617,128,2612027,37.959015,36.503733,2326,572440
140.248.74.20,167.235.145.223,23,9917,14,3649,9,6268,24.319557,19.28068,1514,2600
140.248.74.28,167.235.145.223,222,1284712,182,14283,40,1270429,40.683218,0.058577,1950663,173505505
140.248.74.31,167.235.145.223,318,1416437,257,61667,61,1354770,1.618141,81.309782,6067,133294
140.248.74.32,167.235.145.223,1196,7348520,1061,81602,135,7266918,41.116866,21.82801,29907,2663336
140.248.74.37,167.235.145.223,175,1175762,134,10904,41,1164858,16.655978,60.02831,1453,155241
140.248.74.46,167.235.145.223,2,120,1,66,1,54,77.713996,1.20E-05,,
140.248.74.47,167.235.145.223,2,120,1,66,1,54,41.524746,1.40E-05,,
140.248.74.51,167.235.145.223,1186,7619811,1043,80415,143,7539396,16.476184,17.871898,35996,3374860
140.248.74.52,167.235.145.223,248,1371314,202,15851,46,1355463,10.789616,60.034579,2112,180624
140.248.74.64,167.235.145.223,2,120,1,66,1,54,46.420756,3.10E-05,,
140.248.74.66,167.235.145.223,1212,8051816,1085,83180,127,7968636,10.040694,14.227547,46771,4480680
140.248.74.68,167.235.145.223,993,7824462,842,67122,151,7757340,65.661594,14.636788,36686,4239913
140.248.74.70,167.235.145.223,849,5337293,763,57938,86,5279355,0.107602,68.764555,6740,614194
140.248.74.75,167.235.145.223,2,120,1,66,1,54,77.726301,7.00E-06,,
140.248.74.82,167.235.145.223,197,1515468,150,11995,47,1503473,28.674156,0.057758,1661414,208244468
140.248.74.84,167.235.145.223,174,1229945,134,10859,40,1219086,52.601611,0.055729,1558829,175002027
140.248.74.87,167.235.145.223,634,5589943,526,41755,108,5548188,53.27912,8.671472,38521,5118566
140.248.74.89,167.235.145.223,2,120,1,66,1,54,57.262613,1.50E-05,,
140.248.74.97,167.235.145.223,2,120,1,66,1,54,65.996141,8.00E-06,,
140.248.74.103,167.235.145.223,2,120,1,66,1,54,55.023973,7.00E-06,,
140.248.74.117,167.235.145.223,839,6237142,692,56027,147,6181115,6.03001,76.868958,5830,643288
140.248.74.123,167.235.145.223,951,7299762,808,63268,143,7236494,72.180617,9.115089,55528,6351221
140.248.74.125,167.235.145.223,573,4796556,491,39907,82,4756649,1.885438,70.17717,4549,542244
140.248.74.127,167.235.145.223,2,120,1,66,1,54,76.536091,2.80E-05,,
140.248.74.132,167.235.145.223,191,1318732,150,12003,41,1306729,64.621951,0.054477,1762652,191894414
140.248.75.21,167.235.145.223,272,7206984,136,16072,136,7190912,28.637581,20.046749,6413,2869657
140.248.75.22,167.235.145.223,2,120,1,66,1,54,73.632855,9.00E-06,,
140.248.75.29,167.235.145.223,292,7393872,148,17658,144,7376214,22.560789,19.990574,7066,2951876
140.248.75.31,167.235.145.223,2,120,1,66,1,54,22.092281,2.00E-05,,
140.248.75.52,167.235.145.223,73,996281,38,4091,35,992190,34.565715,0.056865,575538,139585333
140.248.75.53,167.235.145.223,2,120,1,66,1,54,17.862706,1.90E-05,,
140.248.75.61,167.235.145.223,2,120,1,66,1,54,66.709547,1.20E-05,,
140.248.75.63,167.235.145.223,2,120,1,66,1,54,46.595288,2.10E-05,,
140.248.75.65,167.235.145.223,73,1141142,36,3815,37,1137327,82.998665,0.05442,560823,167192502
140.248.75.69,167.235.145.223,2,120,1,66,1,54,30.823623,1.10E-05,,
140.248.75.70,167.235.145.223,2,120,1,66,1,54,3.841718,1.80E-05,,
140.248.75.71,167.235.145.223,2,120,1,66,1,54,24.205824,1.20E-05,,
140.248.75.73,167.235.145.223,2,120,1,66,1,54,3.90564,3.80E-05,,
140.248.75.74,167.235.145.223,162,3683167,81,10240,81,3672927,77.102337,4.36695,18759,6728589
140.248.75.80,167.235.145.223,82,1244635,42,4355,40,1240280,22.741404,60.028417,580,165292
140.248.75.82,167.235.145.223,42,31104,28,17566,14,13538,4.471387,77.987227,1801,1388
140.248.75.87,167.235.145.223,2,120,1,66,1,54,7.060506,1.90E-05,,
140.248.75.92,167.235.145.223,277,6957344,144,16664,133,6940680,34.838682,19.798378,6733,2804544
140.248.75.93,167.235.145.223,221,5420251,116,13707,105,5406544,59.502192,16.44481,6668,2630152
140.248.75.98,167.235.145.223,2,120,1,66,1,54,33.590936,1.80E-05,,
140.248.75.103,167.235.145.223,2,120,1,66,1,54,21.020266,1.40E-05,,
140.248.75.110,167.235.145.223,124,2602423,63,6919,61,2595504,70.730728,11.859859,4667,1750782
140.248.75.116,167.235.145.223,81,1283868,41,4358,40,1279510,76.596294,0.05593,623350,183015912
140.248.83.24,167.235.145.223,232,2537088,111,10023,121,2527065,0.957622,69.154895,1159,292336
140.248.83.25,167.235.145.223,199,1403387,94,7808,105,1395579,53.768302,0.233792,267177,47754551
140.248.83.26,167.235.145.223,204,1246522,101,8169,103,1238353,25.570015,0.225171,290232,43996891
140.248.83.27,167.235.145.223,198,1173690,98,8003,100,1165687,34.366203,0.233004,274776,40022900
140.248.83.28,167.235.145.223,155,1225203,64,5759,91,1219444,41.604096,0.209434,219983,46580555
140.248.83.42,167.235.145.223,63,45632,42,25389,21,20243,0.866169,82.115106,2473,1972
140.248.83.45,167.235.145.223,12,5558,7,807,5,4751,83.055889,0.049221,131163,772190
140.248.83.47,167.235.145.223,180,1374866,85,7145,95,1367721,49.619117,0.194756,293495,56181930
140.248.83.48,167.235.145.223,197,1309593,99,8138,98,1301455,65.945008,0.200051,325437,52044928
140.248.83.51,167.235.145.223,192,1248896,97,8006,95,1240890,5.031438,60.09035,1065,165203
140.248.83.63,167.235.145.223,211,1464489,104,8399,107,1456090,70.888207,0.228088,294588,51071165
140.248.83.69,167.235.145.223,193,1273107,89,7409,104,1265698,17.210639,60.097721,986,168485
140.248.83.72,167.235.145.223,201,1240397,97,8006,104,1232391,78.127035,0.233667,274099,42193069
141.101.76.7,167.235.145.223,200,2083954,99,8053,101,2075901,58.698025,0.113876,565738,145835891
141.101.76.11,167.235.145.223,198,2393907,119,42789,79,2351118,1.26727,79.797623,4289,235708
141.101.76.12,167.235.145.223,51,31558,34,15814,17,15744,1.518943,78.09934,1619,1612
141.101.76.27,167.235.145.223,149,1312150,73,6302,76,1305848,75.830745,0.103525,486993,100910736
141.101.76.42,167.235.145.223,209,2316570,101,8185,108,2308385,82.528618,0.117474,557399,157201423
141.101.76.48,167.235.145.223,37,1188158,14,1732,23,1186426,1.490008,60.012842,230,158156
141.101.76.52,167.235.145.223,72,1459899,41,9978,31,1449921,11.001787,72.040982,1108,161010
141.101.76.53,167.235.145.223,27,16555,18,8218,9,8337,5.00305,72.032967,912,925
141.101.76.62,167.235.145.223,134,1091259,62,5605,72,1085654,1.949825,57.785953,775,150300
141.101.76.75,167.235.145.223,147,1360264,69,6038,78,1354226,18.116884,60.053138,804,180403
141.101.76.78,167.235.145.223,228,2387153,111,8845,117,2378308,46.54137,30.28791,2336,628186
141.101.76.81,167.235.145.223,129,82275,86,42447,43,39828,2.784972,78.155914,4344,4076
141.101.76.84,167.235.145.223,82,2764118,35,3178,47,2760940,2.347657,56.255357,451,392629
141.101.76.86,167.235.145.223,138,1199954,67,5906,71,1194048,72.121111,0.106271,444599,89887024
141.101.76.89,167.235.145.223,147,1266925,70,6158,77,1260767,19.378149,60.048996,820,167965
141.101.76.97,167.235.145.223,135,1244934,61,5510,74,1239424,24.994097,30.36301,1451,326561
141.101.76.100,167.235.145.223,144,1305804,69,6038,75,1299766,79.879464,0.102784,469956,101164850
141.101.76.106,167.235.145.223,275,4721050,124,10520,151,4710530,16.431977,63.822957,1318,590449
141.101.76.110,167.235.145.223,130,997512,63,5642,67,991870,45.895437,30.178922,1495,262930
141.101.76.114,167.235.145.223,138,1284354,62,5576,76,1278778,2.428567,60.046206,742,170372
141.101.76.125,167.235.145.223,140,1326656,62,5576,78,1321080,8.136951,60.049863,742,175997
141.101.76.126,167.235.145.223,6,427,2,132,4,295,20.268918,29.974347,35,78
141.101.76.128,167.235.145.223,148,1239830,73,6356,75,1233474,25.377067,30.151527,1686,327273
141.101.76.130,167.235.145.223,6,427,2,132,4,295,16.703355,29.535872,35,79
141.101.76.137,167.235.145.223,6,427,2,132,4,295,22.751912,29.866863,35,79
141.101.76.146,167.235.145.223,148,1507952,66,5840,82,1502112,28.863205,30.142723,1549,398666
141.101.76.151,167.235.145.223,7,493,3,198,4,295,28.732994,29.80176,53,79
141.101.76.155,167.235.145.223,133,1395521,56,5209,77,1390312,53.627505,0.107416,387949,103545989
141.101.76.163,167.235.145.223,141,1302626,65,5803,76,1296823,65.627486,0.101653,456690,102058807
141.101.76.165,167.235.145.223,266,4133770,157,44417,109,4089353,1.089779,79.201695,4486,413057
141.101.76.170,167.235.145.223,152,1369645,72,6265,80,1363380,47.623672,30.377775,1649,359046
141.101.76.176,167.235.145.223,263,4876801,114,9786,149,4867015,65.148656,3.119005,25100,12483506
141.101.76.178,167.235.145.223,304,4951978,146,11972,158,4940006,10.616912,63.657983,1504,620818
141.101.76.181,167.235.145.223,201,2304010,94,7723,107,2296287,76.543506,0.12238,504853,150108645
141.101.76.183,167.235.145.223,51,31720,34,15822,17,15898,3.158114,74.551732,1697,1705
141.101.76.185,167.235.145.223,242,4586183,98,8730,144,4577453,23.125278,33.180761,2104,1103640
141.101.76.201,167.235.145.223,6,427,2,132,4,295,26.259846,29.98182,35,78
141.101.76.202,167.235.145.223,274,4491896,127,10644,147,4481252,5.112876,63.217016,1346,567094
141.101.76.206,167.235.145.223,191,2068192,87,7132,104,2061060,20.282457,60.047562,950,274590
141.101.76.210,167.235.145.223,288,5191863,132,10974,156,5180889,47.169418,33.138943,2649,1250707
141.101.76.213,167.235.145.223,246,4421974,118,10719,128,4411255,13.424384,51.442595,1666,686008
141.101.76.214,167.235.145.223,7,493,3,198,4,295,8.315998,29.945695,52,78
141.101.76.216,167.235.145.223,6,427,2,132,4,295,28.925974,29.836826,35,79
141.101.76.224,167.235.145.223,196,2122881,91,7525,105,2115356,40.507087,30.279029,1988,558896
141.101.76.231,167.235.145.223,6,427,2,132,4,295,13.654813,29.827974,35,79
141.101.76.232,167.235.145.223,114,71655,76,36458,38,35197,0.095422,78.026928,3737,3608
141.101.76.234,167.235.145.223,42,26969,28,14000,14,12969,1.263527,78.012542,1435,1329
141.101.76.236,167.235.145.223,105,1197611,64,23376,41,1174235,3.331119,78.022237,2396,120400
141.101.76.238,167.235.145.223,292,5342759,129,10776,163,5331983,71.15967,3.13816,27470,13592635
141.101.76.244,167.235.145.223,141,4590931,68,8249,73,4582682,17.634009,60.00998,1099,610922
141.101.76.247,167.235.145.223,64,2051729,27,2583,37,2049146,2.263229,60.014831,344,273151
141.101.76.249,167.235.145.223,6,427,2,132,4,295,7.785111,29.935758,35,78
141.101.76.254,167.235.145.223,158,1448419,77,6620,81,1441799,31.382139,30.186466,1754,382104
141.101.77.6,167.235.145.223,80,2315013,38,3376,42,2311637,4.504904,60.015032,450,308141
141.101.77.11,167.235.145.223,6,427,2,132,4,295,10.747395,29.853467,35,79
141.101.77.14,167.235.145.223,6,427,2,132,4,295,14.613897,29.629535,35,79
141.101.77.15,167.235.145.223,140,1224179,67,5906,73,1218273,67.053114,0.102772,459736,94833067
141.101.77.20,167.235.145.223,84,51988,56,26040,28,25948,1.759598,80.932504,2573,2564
141.101.77.22,167.235.145.223,187,1390512,100,19109,87,1371403,1.938664,78.074234,1958,140522
141.101.77.24,167.235.145.223,82,2346415,41,3574,41,2342841,10.522844,60.017036,476,312290
141.101.77.26,167.235.145.223,271,4310839,135,11172,136,4299667,59.11612,3.311068,26993,10388592
141.101.77.30,167.235.145.223,159,1276656,77,6566,82,1270090,52.068775,30.403336,1727,334197
141.101.77.34,167.235.145.223,155,4954951,75,6561,80,4948390,26.029353,36.351063,1443,1089022
141.101.77.39,167.235.145.223,6,427,2,132,4,295,19.806519,29.696715,35,79
141.101.77.45,167.235.145.223,132,83621,88,42850,44,40771,3.061269,79.361138,4319,4109
141.101.77.47,167.235.145.223,7,493,3,198,4,295,22.990399,29.768512,53,79
