Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
104.156.92.41,41520,167.235.145.223,443,2,120,2718,1,66,1,54,36.713703,1.60E-05,,
104.156.92.43,45958,167.235.145.223,443,138,1257339,3655,65,5857,73,1251482,82.90785,0.146999,318750,68108327
104.156.92.46,64988,167.235.145.223,443,139,1372160,3002,67,5957,72,1366203,50.189456,0.139816,340847,78171482
104.156.92.46,65362,167.235.145.223,443,3,255,3003,2,201,1,54,50.189457,4.00E-05,,
104.156.92.49,28740,167.235.145.223,443,143,1315028,3209,72,6319,71,1308709,60.034966,0.149351,338477,70101117
104.156.92.50,23328,167.235.145.223,443,40,23686,3118,24,10898,16,12788,55.63638,27.188399,3206,3762
104.156.92.51,4578,167.235.145.223,443,3,255,845,2,201,1,54,2.192617,3.90E-05,,
104.156.92.51,42458,167.235.145.223,443,196,1206853,848,96,7871,100,1198982,2.199121,60.091334,1047,159621
104.156.92.56,7310,167.235.145.223,443,3,255,1308,2,201,1,54,8.194031,2.30E-05,,
104.156.92.56,53668,167.235.145.223,443,184,1248311,1309,85,7145,99,1241166,8.200833,60.089262,951,165242
104.156.92.61,29582,167.235.145.223,443,140,1305774,3371,70,6155,70,1299619,68.189428,0.139188,353766,74697186
104.156.92.61,39182,167.235.145.223,443,2,120,2656,1,66,1,54,33.866427,1.40E-05,,
104.156.92.62,22180,167.235.145.223,443,147,1203582,3125,75,6517,72,1197065,55.770275,0.13688,380888,69962887
104.156.92.65,55682,167.235.145.223,443,2,120,1756,1,66,1,54,16.210984,2.40E-05,,
104.156.92.68,39198,167.235.145.223,443,170,1461783,3497,89,7409,81,1454374,74.191504,0.140438,422051,82847890
104.156.92.73,30600,167.235.145.223,443,3,255,3599,2,201,1,54,80.190149,8.00E-06,,
104.156.92.73,47432,167.235.145.223,443,143,1236512,3598,72,6287,71,1230225,80.190034,0.143187,351260,68733893
104.156.92.74,37416,167.235.145.223,443,2,120,2783,1,66,1,54,39.936206,2.00E-05,,
104.156.92.78,9514,167.235.145.223,443,141,1308880,3355,69,6121,72,1302759,67.641105,0.143287,341747,72735642
104.156.92.78,36832,167.235.145.223,443,3,255,3356,2,201,1,54,67.64734,3.10E-05,,
104.156.92.79,53302,167.235.145.223,443,60,43440,956,40,24180,20,19260,3.427712,77.846271,2484,1979
104.156.92.80,46990,167.235.145.223,443,182,1453551,2636,83,7013,99,1446538,32.200759,0.209581,267696,55216379
104.156.92.82,44874,167.235.145.223,443,141,1242396,2384,70,6155,71,1236241,26.194147,0.13574,362752,72859348
104.156.92.82,45174,167.235.145.223,443,3,255,2385,2,201,1,54,26.194269,2.10E-05,,
104.156.92.83,59622,167.235.145.223,443,2,120,3262,1,66,1,54,63.734686,1.50E-05,,
104.156.93.20,14466,167.235.145.223,443,2,120,3225,1,66,1,54,61.294837,2.60E-05,,
104.156.93.22,29378,167.235.145.223,443,2,120,3270,1,66,1,54,64.599205,1.10E-05,,
104.156.93.33,55060,167.235.145.223,443,2,120,2982,1,66,1,54,49.229743,1.00E-05,,
104.156.93.36,16136,167.235.145.223,443,2,120,509,1,66,1,54,0.941763,1.70E-05,,
104.156.93.45,43004,167.235.145.223,443,2,120,2654,1,66,1,54,33.695501,1.30E-05,,
104.156.93.56,61852,167.235.145.223,443,2,120,1599,1,66,1,54,13.387982,1.00E-05,,
104.156.93.67,63328,167.235.145.223,443,42,30640,540,28,17150,14,13490,1.004179,77.648214,1766,1389
104.156.93.79,29490,167.235.145.223,443,2,120,2597,1,66,1,54,30.708776,1.20E-05,,
104.156.93.93,42568,167.235.145.223,443,2,120,3654,1,66,1,54,82.850082,7.00E-06,,
104.156.93.99,25836,167.235.145.223,443,2,120,1040,1,66,1,54,4.914503,1.70E-05,,
104.156.93.100,5166,167.235.145.223,443,2,120,3439,1,66,1,54,71.674365,7.00E-06,,
104.156.93.106,36948,167.235.145.223,443,2,120,3513,1,66,1,54,75.842084,1.50E-05,,
104.156.93.107,27154,167.235.145.223,443,2,120,1852,1,66,1,54,17.646674,1.40E-05,,
104.156.93.110,29990,167.235.145.223,443,2,120,3023,1,66,1,54,51.774515,1.80E-05,,
106.12.167.196,59648,167.235.145.223,22,7,1518,1798,5,1336,2,182,16.910716,0.955544,11185,1523
108.162.220.66,14972,167.235.145.223,443,443,2538298,1799,180,14086,263,2524212,16.92997,63.08854,1786,320085
108.162.220.71,33844,167.235.145.223,443,6,427,798,2,132,4,295,1.895472,29.915915,35,78
108.162.220.77,51552,167.235.145.223,443,6,427,2374,2,132,4,295,26.028651,29.964883,35,78
108.162.220.78,36502,167.235.145.223,443,215,2667866,1505,104,9070,111,2658796,11.605233,62.39849,1162,340879
108.162.220.86,17674,167.235.145.223,443,6,427,2317,2,132,4,295,25.451577,29.942922,35,78
108.162.220.88,18616,167.235.145.223,443,1088,2181540,2738,508,34834,580,2146706,37.475399,30.647377,9092,560362
108.162.220.89,29340,167.235.145.223,443,331,2131801,2745,151,11495,180,2120306,37.753604,30.232148,3041,561073
108.162.220.90,42770,167.235.145.223,443,375,231386,196,250,115442,125,115944,0.315569,81.33392,11354,11404
108.162.220.91,28070,167.235.145.223,443,22,11181,268,14,5402,8,5779,0.436525,2.526811,17102,18296
108.162.220.91,31188,167.235.145.223,443,375,232297,379,250,116461,125,115836,0.657631,80.993216,11503,11441
108.162.220.91,54002,167.235.145.223,443,436,2516623,297,277,118576,159,2398047,0.489933,81.100058,11696,236551
108.162.220.91,54018,167.235.145.223,443,375,231017,152,250,115151,125,115866,0.245782,81.361349,11322,11392
108.162.220.91,54026,167.235.145.223,443,516,4803552,356,321,121388,195,4682164,0.605589,81.822762,11868,457785
108.162.220.98,27498,167.235.145.223,443,294,4930721,2831,154,14047,140,4916674,41.713494,32.387717,3469,1214453
108.162.220.100,53384,167.235.145.223,443,6,427,1670,2,132,4,295,14.038433,29.979118,35,78
108.162.220.107,25424,167.235.145.223,443,244,7406350,1286,114,10145,130,7396205,7.877325,65.689915,1235,900741
108.162.220.113,44878,167.235.145.223,443,1312,2850219,2326,624,42490,688,2807729,25.577979,30.753568,11053,730381
108.162.220.113,44886,167.235.145.223,443,1269,2847604,2350,559,38423,710,2809181,25.781609,30.845939,9965,728570
108.162.220.114,27820,167.235.145.223,443,983,7351631,3283,421,31010,562,7320621,65.148996,3.327755,74548,17598942
108.162.221.3,31180,167.235.145.223,443,388,239848,180,258,121141,130,118707,0.296048,62.636842,15472,15161
108.162.221.3,37448,167.235.145.223,443,537,335069,282,358,169528,179,165541,0.457764,82.03575,16532,16143
108.162.221.4,64688,167.235.145.223,443,540,337212,97,360,170450,180,166762,0.160073,82.913411,16446,16090
108.162.221.4,64692,167.235.145.223,443,537,335998,327,358,170478,179,165520,0.550703,82.094795,16612,16129
108.162.221.10,50008,167.235.145.223,443,189,2322697,2711,93,8414,96,2314283,36.163235,31.904176,2109,580308
108.162.221.16,41136,167.235.145.223,443,515,4266620,1607,220,16704,295,4249916,13.474687,60.316875,2215,563678
108.162.221.18,65234,167.235.145.223,443,504,2614661,3318,234,17711,270,2596950,65.702749,2.406907,58867,8631658
108.162.221.24,46054,167.235.145.223,443,862,11300510,557,326,26987,536,11273523,1.042005,77.6842,2779,1160959
108.162.221.28,49000,167.235.145.223,443,287,4619091,3613,132,10832,155,4608259,80.947972,1.658177,52259,22232893
108.162.221.33,41910,167.235.145.223,443,311,4644892,768,150,12084,161,4632808,1.738611,65.715963,1471,563979
108.162.221.35,25408,167.235.145.223,443,237,1327744,955,114,8179,123,1319565,3.411155,60.016471,1090,175893
108.162.221.52,45470,167.235.145.223,443,1331,6524935,3158,619,44148,712,6480787,58.074078,4.105315,86030,12629066
108.162.221.55,37446,167.235.145.223,443,199,2083898,3124,95,7799,104,2076099,55.751676,0.14312,435941,116048015
108.162.221.56,62494,167.235.145.223,443,338,2092849,3120,156,11602,182,2081247,55.661626,0.228276,406595,72937917
108.162.221.59,35208,167.235.145.223,443,955,6771367,1045,463,33828,492,6737539,4.927876,62.297946,4344,865202
108.162.221.61,49032,167.235.145.223,443,998,7117476,1753,393,28957,605,7088519,16.054443,63.48719,3648,893221
108.162.221.63,62884,167.235.145.223,443,354,4118236,359,151,11461,203,4106775,0.615731,60.719327,1510,541083
108.162.221.65,11390,167.235.145.223,443,844,2111206,1961,359,25000,485,2086206,19.624172,60.057408,3330,277894
108.162.221.65,11406,167.235.145.223,443,923,2116643,1976,437,30371,486,2086272,19.741266,60.056636,4045,277907
108.162.221.69,59200,167.235.145.223,443,148,6333206,1587,47,5692,101,6327514,13.185176,54.784335,831,923988
108.162.221.72,22376,167.235.145.223,443,303,4596146,3481,150,12084,153,4584062,73.589349,0.200253,482749,183130819
108.162.221.78,59890,167.235.145.223,443,392,7480289,2938,190,15764,202,7464525,47.14474,33.031906,3817,1807833
108.162.221.98,36102,167.235.145.223,443,6,427,830,2,132,4,295,2.054529,29.939059,35,78
108.162.221.102,33088,167.235.145.223,443,1932,9963447,2232,932,66418,1000,9897029,24.090045,38.155995,13925,2075066
108.162.221.103,11642,167.235.145.223,443,208,1942835,3650,104,8344,104,1934491,82.838637,0.143032,466692,108199060
108.162.221.104,62890,167.235.145.223,443,92,1191718,854,35,3048,57,1188670,2.224459,60.016452,406,158445
108.162.221.105,11928,167.235.145.223,443,182,2171536,3204,89,8141,93,2163395,59.810578,2.230636,29197,7758845
108.162.221.110,42562,167.235.145.223,443,6,427,559,2,132,4,295,1.048378,29.969978,35,78
108.162.221.113,48390,167.235.145.223,443,6,427,2017,2,132,4,295,20.238557,29.785065,35,79
108.162.221.119,9306,167.235.145.223,443,202,2727314,2960,98,8735,104,2718579,47.70228,32.339206,2160,672515
108.162.221.126,25550,167.235.145.223,443,6,427,1303,2,132,4,295,8.130281,29.856191,35,79
108.162.221.127,39338,167.235.145.223,443,78,2460899,1148,36,4001,42,2456898,5.960936,62.035979,515,316835
108.162.221.131,41632,167.235.145.223,443,424,9175145,2988,204,17181,220,9157964,49.566573,18.210971,7547,4023053
108.162.221.131,63250,167.235.145.223,443,6,427,1918,2,132,4,295,18.987908,29.963562,35,78
108.162.221.131,63254,167.235.145.223,443,6,427,1922,2,132,4,295,19.107091,29.91139,35,78
108.162.221.133,40608,167.235.145.223,443,772,2921649,2576,370,26696,402,2894953,29.853941,32.351911,6601,715865
108.162.221.135,13104,167.235.145.223,443,663,4870634,210,393,122505,270,4748129,0.34987,82.247165,11915,461840
108.162.221.135,33732,167.235.145.223,443,351,217966,209,234,109503,117,108463,0.344889,81.965023,10687,10586
108.162.221.136,10776,167.235.145.223,443,400,2243043,187,252,110889,148,2132154,0.302583,81.189604,10926,210091
108.162.221.136,47092,167.235.145.223,443,351,216906,277,234,108444,117,108462,0.450955,82.328027,10537,10539
108.162.221.140,64442,167.235.145.223,443,513,3543261,2618,241,18090,272,3525171,31.482734,30.396014,4761,927798
108.162.221.141,22850,167.235.145.223,443,34,1248054,441,10,1315,24,1246739,0.780217,60.016449,175,166186
108.162.221.143,20918,167.235.145.223,443,170,1361604,1195,82,6718,88,1354886,6.740911,60.059582,894,180472
108.162.221.148,59726,167.235.145.223,443,311,4644860,3232,153,12282,158,4632578,61.522123,0.26793,366722,138322039
108.162.221.150,31514,167.235.145.223,443,1417,4910748,1269,652,45216,765,4865532,7.746251,60.563266,5972,642704
108.162.221.155,41880,167.235.145.223,443,1657,13828076,3032,683,50953,974,13777123,52.392822,27.92616,14596,3946728
108.162.221.165,29458,167.235.145.223,443,351,218828,105,234,110754,117,108074,0.169145,81.530728,10867,10604
108.162.221.165,58270,167.235.145.223,443,351,219126,131,234,111046,117,108080,0.208701,81.666499,10877,10587
108.162.221.166,42546,167.235.145.223,443,385,1488018,149,250,110927,135,1377091,0.241682,81.202055,10928,135670
108.162.221.166,47712,167.235.145.223,443,348,215394,429,229,108581,119,106813,0.75351,80.781494,10753,10577
108.162.221.166,59462,167.235.145.223,443,348,218433,351,232,110827,116,107606,0.59069,80.998142,10946,10627
108.162.221.170,25350,167.235.145.223,443,405,7892419,3414,196,16160,209,7876259,71.148677,3.14382,41121,20042518
108.162.226.143,59066,167.235.145.223,443,612,778801,3276,277,20951,335,757850,65.01948,18.019541,9301,336456
108.162.227.14,32380,167.235.145.223,443,961,975072,2143,397,29710,564,945362,22.864935,60.238503,3945,125549
108.162.227.20,47002,167.235.145.223,443,53,28455,2093,29,12815,24,15640,21.723442,61.045709,1679,2049
108.162.241.7,40052,167.235.145.223,443,6,427,2198,2,132,4,295,23.340904,29.285528,36,80
108.162.241.28,57572,167.235.145.223,443,6,427,2050,2,132,4,295,20.702438,29.280266,36,80
108.162.241.53,28902,167.235.145.223,443,7,493,1350,3,198,4,295,8.868088,29.201909,54,80
108.162.241.82,35686,167.235.145.223,443,618,2250137,3031,282,20097,336,2230040,52.383828,1.140384,140984,15644133
108.162.241.92,48068,167.235.145.223,443,652,2213188,3587,313,22141,339,2191047,79.627524,1.143655,154878,15326629
108.162.241.99,44198,167.235.145.223,443,62,111421,3640,20,2805,42,108616,82.475471,0.572212,39216,1518542
108.162.241.101,39188,167.235.145.223,443,734,2637466,2990,338,23791,396,2613675,49.609869,31.245054,6091,669206
108.162.241.107,40448,167.235.145.223,443,714,4358236,2327,309,22709,405,4335527,25.583384,48.14476,3773,720415
108.162.241.110,21620,167.235.145.223,443,6,427,923,2,132,4,295,2.875376,29.180102,36,80
108.162.241.120,26584,167.235.145.223,443,6,427,1704,2,132,4,295,14.847819,29.192078,36,80
108.162.241.123,21480,167.235.145.223,443,682,2513541,1625,317,22405,365,2491136,13.591718,60.415016,2966,329869
108.162.241.124,20288,167.235.145.223,443,656,2807103,2474,290,20625,366,2786478,28.320689,31.181214,5291,714911
108.162.241.131,30470,167.235.145.223,443,700,2285716,1259,323,22801,377,2262915,7.648699,60.452501,3017,299463
108.162.241.140,44672,167.235.145.223,443,42,26237,1000,28,13258,14,12979,4.109031,78.310098,1354,1325
108.162.241.164,50350,167.235.145.223,443,644,2414575,3399,294,20889,350,2393686,70.443247,1.172179,142565,16336658
108.162.241.186,46890,167.235.145.223,443,702,2523855,2624,318,22471,384,2501384,31.593286,31.229393,5756,640776
108.162.241.216,21636,167.235.145.223,443,153,2416193,2553,78,5980,75,2410213,29.36013,26.463213,1807,728622
108.162.241.221,29994,167.235.145.223,443,711,2361760,1007,330,23265,381,2338495,4.270156,60.45422,3078,309456
108.162.241.224,27214,167.235.145.223,443,591,2157972,1760,263,18843,328,2139129,16.28691,60.407028,2495,283295
108.162.241.230,32730,167.235.145.223,443,702,3854185,2111,324,23703,378,3830482,22.30474,42.303204,4482,724386
108.162.241.239,35632,167.235.145.223,443,643,2333148,3523,271,19371,372,2313777,76.461,1.214445,127603,15241707
108.162.241.241,24050,167.235.145.223,443,648,2475084,3359,294,20887,354,2454197,67.654186,1.092869,152896,17965168
108.162.242.28,10542,167.235.145.223,443,684,2194214,3235,323,22801,361,2171413,61.616255,1.255762,145256,13833277
108.162.242.32,20194,167.235.145.223,443,600,2450864,1405,262,18777,338,2432087,10.270178,60.411068,2486,322071
108.162.242.40,59158,167.235.145.223,443,115,2055126,718,46,3868,69,2051258,1.562581,60.115269,514,272976
108.162.242.50,53492,167.235.145.223,443,6,427,1107,2,132,4,295,5.32865,29.280335,36,80
108.162.242.51,11012,167.235.145.223,443,637,2112762,3165,306,21681,331,2091081,58.407948,1.098246,157931,15232150
108.162.242.57,38764,167.235.145.223,443,643,2396461,1956,289,20557,354,2375904,19.573376,60.403833,2722,314669
108.162.242.63,12888,167.235.145.223,443,6,427,1836,2,132,4,295,17.35075,29.272531,36,80
108.162.242.69,36224,167.235.145.223,443,663,2415829,2907,306,21681,357,2394148,46.361531,31.356306,5531,610823
108.162.242.75,65494,167.235.145.223,443,608,2354931,3267,267,19107,341,2335824,64.427262,1.102604,138631,16947691
108.162.242.89,22848,167.235.145.223,443,6,427,2419,2,132,4,295,26.878801,28.773448,36,82
108.162.242.93,63418,167.235.145.223,443,803,2717336,3484,376,26299,427,2691037,73.631852,1.365624,154062,15764438
108.162.242.95,53248,167.235.145.223,443,620,2153836,2742,292,20755,328,2133081,37.612684,31.142756,5331,547949
108.162.242.103,60166,167.235.145.223,443,7,493,1485,3,198,4,295,11.318423,29.300429,54,80
108.162.242.106,62028,167.235.145.223,443,42,26198,678,28,13230,14,12968,1.430816,78.170875,1353,1327
108.162.242.112,38032,167.235.145.223,443,708,2156639,2785,342,24057,366,2132582,40.377637,31.249012,6158,545958
125.124.215.155,58228,167.235.145.223,22,26,4644,2668,12,2050,14,2594,34.261654,5.335093,3073,3889
140.248.69.21,10742,167.235.145.223,443,244,2661634,1997,120,10548,124,2651086,19.942711,36.090313,2338,587655
140.248.69.21,38854,167.235.145.223,443,3,255,1996,2,201,1,54,19.942578,0.000105,,
140.248.69.25,47314,167.235.145.223,443,193,1227711,2878,92,7607,101,1220104,43.915308,0.221362,274916,44094433
140.248.69.26,26360,167.235.145.223,443,3,255,3241,2,201,1,54,61.786931,7.20E-05,,
140.248.69.26,58344,167.235.145.223,443,168,1096165,3242,81,6881,87,1089284,61.787088,0.200752,274208,43408145
140.248.69.27,21482,167.235.145.223,443,2,120,2900,1,66,1,54,45.499147,2.20E-05,,
140.248.69.29,16630,167.235.145.223,443,3,255,1279,2,201,1,54,7.854507,4.30E-05,,
140.248.69.29,62550,167.235.145.223,443,174,1247651,1280,81,6881,93,1240770,7.854601,60.085789,916,165199
140.248.69.33,33048,167.235.145.223,443,205,1310064,3366,99,8069,106,1301995,68.004551,0.229783,280925,45329550
140.248.69.33,57782,167.235.145.223,443,3,255,3365,2,201,1,54,68.004375,8.10E-05,,
140.248.69.36,17108,167.235.145.223,443,3,255,813,2,201,1,54,1.960888,3.30E-05,,
140.248.69.36,44406,167.235.145.223,443,192,1206589,814,96,7871,96,1198718,1.961069,60.089489,1047,159591
140.248.69.38,26464,167.235.145.223,443,198,1240142,3595,96,7871,102,1232271,79.94913,0.227291,277036,43372452
140.248.69.38,48092,167.235.145.223,443,3,255,3594,2,201,1,54,79.949025,9.40E-05,,
140.248.69.39,13984,167.235.145.223,443,2,120,3448,1,66,1,54,71.850836,1.00E-05,,
140.248.69.41,23438,167.235.145.223,443,193,1375724,3001,96,7871,97,1367853,50.14664,0.201137,313060,54404828
140.248.69.42,2492,167.235.145.223,443,53,1331369,1654,28,2941,25,1328428,13.934527,60.026342,391,177046
140.248.69.43,11952,167.235.145.223,443,42,30416,707,28,16926,14,13490,1.52336,78.07748,1734,1382
140.248.69.45,49338,167.235.145.223,443,2,120,2377,1,66,1,54,26.035649,9.00E-06,,
140.248.69.50,3620,167.235.145.223,443,2,120,3197,1,66,1,54,59.508133,1.30E-05,,
140.248.69.52,17246,167.235.145.223,443,245,2622389,2753,118,10416,127,2611973,37.959098,36.50365,2282,572429
140.248.69.52,51430,167.235.145.223,443,3,255,2752,2,201,1,54,37.959015,4.00E-05,,
140.248.69.59,19192,167.235.145.223,443,250,2686163,2330,122,10680,128,2675483,25.610109,6.398948,13352,3344903
140.248.74.20,15490,167.235.145.223,443,3,255,2246,2,201,1,54,24.319557,1.80E-05,,
140.248.74.20,55078,167.235.145.223,443,20,9662,2247,12,3448,8,6214,24.319807,19.28043,1430,2578
140.248.74.28,20890,167.235.145.223,443,222,1284712,2790,182,14283,40,1270429,40.683218,0.058577,1950663,173505505
140.248.74.31,15508,167.235.145.223,443,318,1416437,737,257,61667,61,1354770,1.618141,81.309782,6067,133294
140.248.74.32,24884,167.235.145.223,443,1196,7348520,2806,1061,81602,135,7266918,41.116866,21.82801,29907,2663336
140.248.74.37,4044,167.235.145.223,443,172,1175507,1785,132,10703,40,1164804,16.656121,60.028167,1426,155234
140.248.74.37,33448,167.235.145.223,443,3,255,1784,2,201,1,54,16.655978,9.80E-05,,
140.248.74.46,24150,167.235.145.223,443,2,120,3561,1,66,1,54,77.713996,1.20E-05,,
140.248.74.47,52128,167.235.145.223,443,2,120,2825,1,66,1,54,41.524746,1.40E-05,,
140.248.74.51,17746,167.235.145.223,443,3,255,1770,2,201,1,54,16.476184,8.70E-05,,
140.248.74.51,45410,167.235.145.223,443,1183,7619556,1771,1041,80214,142,7539342,16.476303,17.871779,35906,3374859
140.248.74.52,46398,167.235.145.223,443,248,1371314,1434,202,15851,46,1355463,10.789616,60.034579,2112,180624
140.248.74.64,6570,167.235.145.223,443,2,120,2908,1,66,1,54,46.420756,3.10E-05,,
140.248.74.66,53734,167.235.145.223,443,1212,8051816,1398,1085,83180,127,7968636,10.040694,14.227547,46771,4480680
140.248.74.68,8822,167.235.145.223,443,990,7824207,3317,840,66921,150,7757286,65.661837,14.636545,36577,4239954
140.248.74.68,18202,167.235.145.223,443,3,255,3316,2,201,1,54,65.661594,9.60E-05,,
140.248.74.70,62974,167.235.145.223,443,849,5337293,66,763,57938,86,5279355,0.107602,68.764555,6740,614194
140.248.74.75,33822,167.235.145.223,443,2,120,3562,1,66,1,54,77.726301,7.00E-06,,
140.248.74.82,27802,167.235.145.223,443,197,1515468,2496,150,11995,47,1503473,28.674156,0.057758,1661414,208244468
140.248.74.84,47068,167.235.145.223,443,174,1229945,3038,134,10859,40,1219086,52.601611,0.055729,1558829,175002027
140.248.74.87,43492,167.235.145.223,443,3,255,3065,2,201,1,54,53.27912,1.50E-05,,
140.248.74.87,45344,167.235.145.223,443,631,5589688,3066,524,41554,107,5548134,53.279217,8.671375,38336,5118573
140.248.74.89,6368,167.235.145.223,443,2,120,3142,1,66,1,54,57.262613,1.50E-05,,
140.248.74.97,18670,167.235.145.223,443,2,120,3325,1,66,1,54,65.996141,8.00E-06,,
140.248.74.103,35514,167.235.145.223,443,2,120,3100,1,66,1,54,55.023973,7.00E-06,,
140.248.74.105,37198,167.235.145.223,443,160,1204852,3170,120,9899,40,1194953,58.776259,0.05731,1381818,166805513
